ID,Name,Category,Type,Destination,Area,Price,Rating,Description
1,Safari 731,Activity,Experience,Dooars,City Center,,3.4,Activity in Dooars with great experience
2,Himalayan Dine 593,Restaurant,Food,Gangtok,MG Marg,378 INR,4.9,Restaurant in Gangtok with great experience
3,Safari 307,Activity,Experience,Dooars,Tea Garden,,3.2,Activity in Dooars with great experience
4,View Point 707,Attraction,Experience,Lava,City Center,,4.7,Attraction in Lava with great experience
5,Hilltop Cafe 245,Cafe,Food,Darjeeling,Mall Road,740 INR,4.5,Cafe in Darjeeling with great experience
6,Cafe Aroma 37,Cafe,Food,Gangtok,MG Marg,853 INR,3.0,Cafe in Gangtok with great experience
7,Monastery 366,Attraction,Experience,Gangtok,MG Marg,,4.4,Attraction in Gangtok with great experience
8,Winter Hub 319,Clothing Store,Shopping,Lava,Forest Area,,4.9,Clothing Store in Lava with great experience
9,Cafe Aroma 84,Cafe,Food,Darjeeling,Mall Road,201 INR,3.5,Cafe in Darjeeling with great experience
10,Safari 160,Activity,Experience,Dooars,City Center,,4.2,Activity in Dooars with great experience
11,Hotel Green View 156,Hotel,Stay,Darjeeling,Tea Garden,7729 INR,4.3,Hotel in Darjeeling with great experience
12,Valley View Stay 115,Homestay,Stay,Kurseong,Mall Road,4721 INR,3.4,Homestay in Kurseong with great experience
13,Pahari Homestay 333,Homestay,Stay,Mirik,City Center,2503 INR,4.2,Homestay in Mirik with great experience
14,Lake 184,Attraction,Experience,Darjeeling,Mall Road,,4.7,Attraction in Darjeeling with great experience
15,Lake 663,Attraction,Experience,Kalimpong,Forest Area,,3.1,Attraction in Kalimpong with great experience
16,Sunrise Coffee 279,Cafe,Food,Kurseong,Hill View,351 INR,3.0,Cafe in Kurseong with great experience
17,Waterfall 34,Attraction,Experience,Gangtok,MG Marg,,4.8,Attraction in Gangtok with great experience
18,Trekking 269,Activity,Experience,Gangtok,Hill View,,4.0,Activity in Gangtok with great experience
19,Lake 645,Attraction,Experience,Mirik,Hill View,,4.4,Attraction in Mirik with great experience
20,Himalayan Wear 865,Clothing Store,Shopping,Dooars,Tea Garden,,3.5,Clothing Store in Dooars with great experience
21,Hill Stay Inn 452,Hotel,Stay,Dooars,Tea Garden,4497 INR,4.5,Hotel in Dooars with great experience
22,Cafe Aroma 464,Cafe,Food,Mirik,City Center,762 INR,3.8,Cafe in Mirik with great experience
23,Skyline Hotel 826,Hotel,Stay,Darjeeling,Mall Road,2824 INR,3.8,Hotel in Darjeeling with great experience
24,Toy Train Ride 639,Activity,Experience,Darjeeling,City Center,,3.4,Activity in Darjeeling with great experience
25,Food Valley 716,Restaurant,Food,Kurseong,Tea Garden,663 INR,4.7,Restaurant in Kurseong with great experience
26,Spice Route 74,Restaurant,Food,Gangtok,MG Marg,659 INR,3.0,Restaurant in Gangtok with great experience
27,Himalayan Dine 668,Restaurant,Food,Gangtok,Hill View,555 INR,3.0,Restaurant in Gangtok with great experience
28,Peak Residency 198,Hotel,Stay,Kurseong,Forest Area,1407 INR,3.8,Hotel in Kurseong with great experience
29,Safari 343,Activity,Experience,Dooars,Forest Area,,3.7,Activity in Dooars with great experience
30,Valley View Stay 929,Homestay,Stay,Kalimpong,Mall Road,4057 INR,3.0,Homestay in Kalimpong with great experience
31,Safari 519,Activity,Experience,Dooars,Hill View,,3.7,Activity in Dooars with great experience
32,Sunrise Coffee 73,Cafe,Food,Gangtok,Hill View,150 INR,4.2,Cafe in Gangtok with great experience
33,Hotel Green View 851,Hotel,Stay,Darjeeling,Mall Road,6118 INR,5.0,Hotel in Darjeeling with great experience
34,Forest Resort 846,Resort,Stay,Lava,City Center,1174 INR,4.2,Resort in Lava with great experience
35,Food Valley 135,Restaurant,Food,Darjeeling,Mall Road,921 INR,3.3,Restaurant in Darjeeling with great experience
36,Waterfall 619,Attraction,Experience,Kalimpong,City Center,,4.9,Attraction in Kalimpong with great experience
37,Luxury Hills Resort 193,Resort,Stay,Kalimpong,City Center,2636 INR,3.6,Resort in Kalimpong with great experience
38,Himalayan Wear 694,Clothing Store,Shopping,Kalimpong,Forest Area,,4.1,Clothing Store in Kalimpong with great experience
39,Mountain Nest 505,Homestay,Stay,Darjeeling,Tea Garden,4910 INR,3.6,Homestay in Darjeeling with great experience
40,Pahari Homestay 785,Homestay,Stay,Mirik,City Center,6692 INR,4.2,Homestay in Mirik with great experience
41,Spice Route 95,Restaurant,Food,Darjeeling,Mall Road,369 INR,4.2,Restaurant in Darjeeling with great experience
42,Boating 361,Activity,Experience,Mirik,City Center,,4.3,Activity in Mirik with great experience
43,Skyline Hotel 286,Hotel,Stay,Gangtok,MG Marg,3295 INR,3.1,Hotel in Gangtok with great experience
44,Mountain Nest 336,Homestay,Stay,Kurseong,City Center,5094 INR,4.0,Homestay in Kurseong with great experience
45,Lake 891,Attraction,Experience,Kurseong,Forest Area,,4.9,Attraction in Kurseong with great experience
46,Hotel Green View 169,Hotel,Stay,Gangtok,City Center,3791 INR,3.9,Hotel in Gangtok with great experience
47,Waterfall 936,Attraction,Experience,Dooars,Forest Area,,3.9,Attraction in Dooars with great experience
48,Safari 516,Activity,Experience,Dooars,Forest Area,,3.5,Activity in Dooars with great experience
49,Trekking 337,Activity,Experience,Gangtok,MG Marg,,4.3,Activity in Gangtok with great experience
50,Forest Resort 554,Resort,Stay,Gangtok,City Center,3115 INR,4.1,Resort in Gangtok with great experience
51,Food Valley 185,Restaurant,Food,Dooars,City Center,336 INR,4.4,Restaurant in Dooars with great experience
52,View Point 673,Attraction,Experience,Mirik,Tea Garden,,4.7,Attraction in Mirik with great experience
53,Food Valley 603,Restaurant,Food,Lava,City Center,178 INR,4.6,Restaurant in Lava with great experience
54,Himalayan Wear 592,Clothing Store,Shopping,Dooars,Forest Area,,3.5,Clothing Store in Dooars with great experience
55,Cloud9 Cafe 95,Cafe,Food,Kalimpong,City Center,598 INR,4.3,Cafe in Kalimpong with great experience
56,Winter Hub 558,Clothing Store,Shopping,Gangtok,Mall Road,,3.4,Clothing Store in Gangtok with great experience
57,Cafe Aroma 187,Cafe,Food,Mirik,City Center,642 INR,4.7,Cafe in Mirik with great experience
58,Hill Stay Inn 165,Hotel,Stay,Gangtok,Hill View,2677 INR,4.1,Hotel in Gangtok with great experience
59,Forest Resort 668,Resort,Stay,Mirik,Tea Garden,6896 INR,4.3,Resort in Mirik with great experience
60,Hill Stay Inn 188,Hotel,Stay,Gangtok,Hill View,3453 INR,4.8,Hotel in Gangtok with great experience
61,View Point 772,Attraction,Experience,Kalimpong,Forest Area,,3.4,Attraction in Kalimpong with great experience
62,Spice Route 317,Restaurant,Food,Gangtok,MG Marg,443 INR,3.3,Restaurant in Gangtok with great experience
63,Himalayan Wear 61,Clothing Store,Shopping,Lava,Hill View,,4.4,Clothing Store in Lava with great experience
64,Winter Hub 434,Clothing Store,Shopping,Mirik,Tea Garden,,3.8,Clothing Store in Mirik with great experience
65,Peak Residency 598,Hotel,Stay,Gangtok,Mall Road,5572 INR,3.2,Hotel in Gangtok with great experience
66,Luxury Hills Resort 395,Resort,Stay,Darjeeling,Tea Garden,6871 INR,3.6,Resort in Darjeeling with great experience
67,Forest Resort 806,Resort,Stay,Gangtok,MG Marg,6190 INR,3.8,Resort in Gangtok with great experience
68,Himalayan Dine 439,Restaurant,Food,Kurseong,Hill View,710 INR,3.6,Restaurant in Kurseong with great experience
69,Himalayan Dine 604,Restaurant,Food,Gangtok,MG Marg,922 INR,4.5,Restaurant in Gangtok with great experience
70,Mountain Nest 681,Homestay,Stay,Dooars,Forest Area,4781 INR,3.2,Homestay in Dooars with great experience
71,Trekking 157,Activity,Experience,Darjeeling,Mall Road,,4.4,Activity in Darjeeling with great experience
72,Pahari Homestay 653,Homestay,Stay,Lava,Hill View,2326 INR,3.8,Homestay in Lava with great experience
73,Peak Residency 287,Hotel,Stay,Dooars,Forest Area,5787 INR,4.7,Hotel in Dooars with great experience
74,Valley View Stay 760,Homestay,Stay,Dooars,Tea Garden,5188 INR,4.0,Homestay in Dooars with great experience
75,Tea Garden Resort 24,Resort,Stay,Dooars,Forest Area,2054 INR,4.3,Resort in Dooars with great experience
76,Himalayan Wear 249,Clothing Store,Shopping,Gangtok,MG Marg,,3.9,Clothing Store in Gangtok with great experience
77,Mountain Brew 447,Cafe,Food,Darjeeling,Mall Road,429 INR,4.8,Cafe in Darjeeling with great experience
78,Spice Route 227,Restaurant,Food,Darjeeling,Mall Road,510 INR,3.5,Restaurant in Darjeeling with great experience
79,Safari 697,Activity,Experience,Dooars,City Center,,4.0,Activity in Dooars with great experience
80,Winter Hub 247,Clothing Store,Shopping,Kurseong,Forest Area,,4.5,Clothing Store in Kurseong with great experience
81,Cafe Aroma 701,Cafe,Food,Darjeeling,Mall Road,164 INR,4.7,Cafe in Darjeeling with great experience
82,Mountain Brew 237,Cafe,Food,Dooars,Tea Garden,233 INR,3.5,Cafe in Dooars with great experience
83,Boating 272,Activity,Experience,Mirik,Tea Garden,,4.1,Activity in Mirik with great experience
84,Himalayan Wear 253,Clothing Store,Shopping,Kurseong,Mall Road,,3.5,Clothing Store in Kurseong with great experience
85,Waterfall 614,Attraction,Experience,Darjeeling,Hill View,,3.0,Attraction in Darjeeling with great experience
86,Mountain Nest 699,Homestay,Stay,Kalimpong,Mall Road,6717 INR,4.9,Homestay in Kalimpong with great experience
87,Hotel Green View 285,Hotel,Stay,Mirik,Tea Garden,6372 INR,5.0,Hotel in Mirik with great experience
88,Boating 811,Activity,Experience,Mirik,City Center,,4.0,Activity in Mirik with great experience
89,Valley View Stay 826,Homestay,Stay,Dooars,Tea Garden,6672 INR,3.6,Homestay in Dooars with great experience
90,View Point 512,Attraction,Experience,Gangtok,MG Marg,,3.4,Attraction in Gangtok with great experience
91,Forest Resort 45,Resort,Stay,Kalimpong,Hill View,3507 INR,3.6,Resort in Kalimpong with great experience
92,Safari 680,Activity,Experience,Dooars,City Center,,3.1,Activity in Dooars with great experience
93,Pahari Homestay 797,Homestay,Stay,Mirik,Tea Garden,3652 INR,5.0,Homestay in Mirik with great experience
94,Lake 654,Attraction,Experience,Darjeeling,Forest Area,,3.9,Attraction in Darjeeling with great experience
95,Hotel Green View 822,Hotel,Stay,Gangtok,MG Marg,2026 INR,3.3,Hotel in Gangtok with great experience
96,Mountain Style 705,Clothing Store,Shopping,Kurseong,Hill View,,4.7,Clothing Store in Kurseong with great experience
97,Food Valley 566,Restaurant,Food,Dooars,Forest Area,994 INR,3.6,Restaurant in Dooars with great experience
98,Safari 608,Activity,Experience,Dooars,Mall Road,,3.2,Activity in Dooars with great experience
